Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Aurora,14,60,96%,9.0,5.0,64%,5.6,3.5,33:36:00,7.6,684.0,394.0,-2.6,-7.0,-94.0
Yone,28,45,95%,18.0,10.0,64%,4.3,3.4,32:14:00,9.5,645.0,442.0,5.4,303.0,265.0
Skarner,32,35,87%,23.0,9.0,72%,5.7,3.9,32:02:00,5.9,346.0,338.0,-0.8,11.0,82.0
Jax,35,28,82%,19.0,16.0,54%,3,5.2,34:25:00,8.0,440.0,402.0,-5.1,38.0,-164.0
Ashe,18,43,79%,13.0,5.0,72%,6.2,6.1,33:30:00,9.5,553.0,444.0,-2.8,-156.0,17.0
Rell,42,16,75%,20.0,22.0,48%,2.6,8.7,33:53:00,1.1,130.0,243.0,0.0,-53.0,-114.0
Kalista,17,39,73%,10.0,7.0,59%,4.2,5.1,34:51:00,9.2,554.0,438.0,-5.4,-195.0,-385.0
Kaisa,29,26,71%,16.0,13.0,55%,5.7,7.9,32:52:00,10.0,742.0,467.0,-4.6,-274.0,-132.0
Gnar,30,20,65%,19.0,11.0,63%,3.3,4.6,32:45:00,8.1,509.0,407.0,-0.5,-167.0,-190.0
Ziggs,9,36,58%,4.0,5.0,44%,4.7,4.7,31:14:00,9.8,728.0,431.0,5.6,87.0,480.0
Ezreal,22,21,56%,12.0,10.0,55%,5.1,8,32:58:00,9.8,849.0,443.0,1.5,27.0,132.0
Orianna,19,24,56%,8.0,11.0,42%,4,4.4,33:25:00,8.4,565.0,386.0,4.7,-86.0,17.0
Poppy,15,27,55%,4.0,11.0,27%,2.5,6.2,35:30:00,3.7,262.0,281.0,-2.3,-60.0,-157.0
Rumble,22,20,55%,12.0,10.0,55%,3.3,4,32:57:00,7.6,647.0,383.0,7.0,105.0,279.0
Vi,24,18,55%,10.0,14.0,42%,2.3,5.4,33:15:00,6.2,289.0,340.0,-2.0,-23.0,74.0
Renekton,16,22,49%,4.0,12.0,25%,1.6,4,33:54:00,7.8,426.0,375.0,2.6,40.0,150.0
Rakan,21,17,49%,14.0,7.0,67%,5.3,7.3,31:08:00,1.2,142.0,258.0,-1.5,99.0,-99.0
Sejuani,23,12,45%,10.0,13.0,43%,3.3,6.1,33:01:00,5.5,304.0,316.0,-4.2,-126.0,-195.0
Ahri,25,8,43%,11.0,14.0,44%,4.9,4.5,33:26:00,8.7,604.0,409.0,1.1,94.0,28.0
Leona,22,11,43%,12.0,10.0,55%,2.5,9,34:22:00,1.1,175.0,239.0,-2.0,-268.0,-176.0
Renata Glasc,13,17,39%,6.0,7.0,46%,3.8,7.5,35:17:00,1.2,173.0,252.0,-1.9,321.0,332.0
Jhin,18,9,35%,5.0,13.0,28%,4.4,8.2,32:56:00,9.7,577.0,413.0,4.2,128.0,77.0
Xayah,11,16,35%,7.0,4.0,64%,4.1,7.3,32:06:00,10.4,664.0,465.0,3.3,459.0,143.0
Sylas,15,12,35%,9.0,6.0,60%,4.1,5.2,34:21:00,8.4,490.0,405.0,-0.6,-74.0,106.0
Smolder,14,13,35%,5.0,9.0,36%,3.2,5.8,33:28:00,9.8,835.0,435.0,-4.0,-220.0,-356.0
Nocturne,20,6,34%,8.0,12.0,40%,3.6,5.8,33:00:00,6.4,313.0,347.0,4.2,62.0,-25.0
Maokai,17,8,32%,9.0,8.0,53%,3.1,6.6,32:24:00,4.3,294.0,294.0,-10.0,-491.0,-379.0
Ksante,11,12,30%,5.0,6.0,45%,3.1,7.3,32:51:00,7.3,483.0,373.0,-3.8,-57.0,234.0
Ivern,4,18,29%,2.0,2.0,50%,4.4,2.5,37:18:00,5.8,168.0,332.0,-2.0,339.0,-134.0
Alistar,14,7,27%,5.0,9.0,36%,2.4,8.6,31:44:00,1.1,115.0,227.0,3.5,-73.0,289.0
Neeko,9,10,25%,5.0,4.0,56%,3.3,4.7,30:39:00,5.8,528.0,351.0,3.9,512.0,261.0
Braum,10,8,23%,7.0,3.0,70%,3.8,7.4,34:24:00,1.1,157.0,241.0,3.3,238.0,512.0
Nidalee,4,13,22%,2.0,2.0,50%,7.5,3,31:21:00,7.4,645.0,400.0,9.5,292.0,332.0
Lucian,5,11,21%,0.0,5.0,0%,2,6.2,37:46:00,8.5,604.0,389.0,-5.0,-30.0,-44.0
